,RAdeg,DEdeg,Z,LOGMSTAR,LOGMSTARERR,LOGSFRSED,LOGSFRSEDERR
361,182.52232,43.442753,0.0198,9.827,0.043,-0.314,0.014
362,216.56728,13.724515,0.0425,10.258,0.025,-0.138,0.082
363,162.75426,36.19258,0.0238,10.058,0.021,-0.327,0.031
364,232.21042,13.435448,0.0314,10.599,0.023,0.033,0.088
365,148.93959,22.078238,0.0667,10.706,0.025,0.303,0.144
366,198.2008,19.446913,0.0634,10.965,0.027,0.526,0.049
367,202.50175,42.807922,0.0453,10.559,0.024,0.007,0.147
368,33.21221,-4.597719,0.1573,11.361,0.022,-0.47,0.188
369,164.36317,32.68091,0.0603,10.953,0.013,0.056,0.067
370,153.62059,-1.23111,0.0583,10.849,0.024,0.384,0.131
371,173.28172,46.728027,0.0651,10.661,0.032,0.169,0.124
372,251.65627,34.896935,0.0373,9.99,0.064,0.256,0.124
373,180.50096,34.67119,0.0887,11.16,0.028,-0.108,0.418
374,126.87578,45.492813,0.0462,10.285,0.036,-0.108,0.17
375,128.93878,38.747124,0.0564,10.624,0.037,0.065,0.25
376,222.55061,55.119427,0.0444,10.822,0.031,-0.001,0.275
377,172.71828,-3.534866,0.1825,11.335,0.01,0.188,0.079
378,154.0205,47.14644,0.17,11.587,0.028,-0.896,0.68
379,208.49803,17.157328,0.0217,9.319,0.054,-0.546,0.096
380,131.77908,27.873602,0.0207,9.979,0.024,-0.362,0.134
381,245.10329,50.23674,0.0427,10.225,0.021,-0.157,0.017
382,127.21381,13.993807,0.0542,10.785,0.03,-0.602,0.74
383,116.81805,26.95096,0.0159,9.788,0.03,-0.447,0.078
384,241.51274,14.238816,0.2054,11.655,0.011,-0.899,0.554
385,173.62056,55.336117,0.0579,10.928,0.028,0.467,0.167
386,184.8959,28.354101,0.0284,9.996,0.035,-0.898,0.361
387,347.5694,-10.243518,0.0321,10.214,0.026,-0.097,0.121
388,134.18277,44.89687,0.0475,10.385,0.069,0.494,0.245
389,40.526077,-0.893409,0.0306,10.256,0.041,-0.007,0.177
390,136.68935,19.762833,0.1017,11.022,0.036,0.6,0.141
